title,label,link,file,Date-avail,tag
US Food Shortages We Could See Before The End 2021,1,https://itsthevibe.com/product-shortages/?spadid=20003912&spadgid=1922184&spcampid=3645166&utm_source=gemini&utm_medium=cpc&utm_campaign=itv_us_m_t_d_gemini_71224_3645166&utm_content=37001154618_37001154618&sppubid=HOMEPAGE_US&utm_term=9790109920&spsecid=yahoo.com&spcid=7ccf67d4efba35df9950100d992cf59a&sm_dd=d&sm_xp=1&dynamic=true&xsmr=16,nlp-1,6-Nov-21,ad
8 Ways You're Wasting Money Without Realizing It,1,https://savinginspector.live/page/8-ways-to-save-money-each-month?cep=KYKi-01JhY8BzUeyliluoT3r0XN361nt3IYaK8chuGD6rKl-Xl-snOTzmvkQVdJtHaMZFIc3mDlI7ynAhVeflTHBP3vgbc1Cfjo6SLYPVhF7YkNFfZ2C2uzZtEshg6y2Jy7H6r0ygPBpVilbUdtfg4HaFSfNLxa3Srccij55tOT7VhuCVEWXuqFQPwzXcgp_uQsUWzqbLytjFO93ZYFMsV2ZyojQ_aGcSD-t7VIuV99iRv5o8pbKO-NEjqrH-ncmn9NTQ-i7Ujq46T7kiUdamDnyghAcOZ2mfo3XMOANS72yaQhuTCKpF7Z9OO8hwWMPHWjRlJFy0LFdK4BZNCFi5SyV07NWJzVejWbCr1h0pcEETAKre6jneJnpsjWprV2Ng8esQen8A5NV6fOU34css-nUd6jkT9Mzd8PKMun4m5eA5sdpWGJfWqq_DAF_PtVVEENKFs0X6AYKoXHNZkkyq4eEtFC6d0PSF5anKahAQNiHNJMG0iG0R-eVwN4aUKD9dSsp79UVN02oRdmQ_Rdo02-4sibM5YBxEbASalP_t1Upw1hpQWSZeb_maGGCgws1VLPUFJlv4x8WxQir6qS0Drdopstzn3jKD2hlfDQCdSbo9SZxywutCoLpftXVEt6v&lptoken=164e36263285604918d1&pubid=HOMEPAGE_US%7Cc&camp=418435332&supl=yahoo.com&ad=37302549211&agrp=9794090403,nlp-2,28-Oct-21,sifetyle
6 Holidays Purchases That You Should Only Make at Costco,1,https://www.yahoo.com/finance/news/6-holidays-purchases-only-costco-230001466.html,nlp-3,6-Nov-21,lifestyle
The Best New Items You Can Get at Costco for Less Than $100,1,https://www.yahoo.com/finance/news/best-items-costco-less-100-200238345.html,nlp-4,4-Nov-21,lifestyle
The 14 Best Holiday Deals From Costco’s Early Black Friday Coupon Book,1,https://www.yahoo.com/finance/news/14-best-holiday-deals-costco-110011490.html,nlp-5,5-Nov-21,lifestyle
This Light Could Save Millions When Power Goes Out,1,https://emergenbulb.com/hometech/smartbulb-gem.php?affId=76E606D5&c1=us-new-desk&c2=37313421021,nlp-6,29-Oct-21,ad
This Inexpensive Grocery Store Item Is the Key to Using Up Leftovers,1,https://www.yahoo.com/lifestyle/inexpensive-grocery-store-item-key-194444139.html,nlp-7,7-Nov-21,lifestyle
Love Dining Out? 3 Tips to Save Money,1,https://www.yahoo.com/finance/m/bc728c05-68d2-39f7-b69c-34800daad845/love-dining-out-3-tips-to.html,nlp-8,7-Nov-21,lifestyle
A promising new treatment for depression,1,https://www.yahoo.com/news/promising-treatment-depression-141400876.html,nlp-9,7-Nov-21,ad
5 Bulk Food Items You Need To Be Buying at Costco This Fall,1,https://www.yahoo.com/finance/news/5-bulk-food-items-buying-200001185.html,nlp-10,7-Nov-21,lifestyle
You have 24 hours to get these 100 percent Egyptian cotton sheets for 50 percent off at Amazon,1,https://www.yahoo.com/lifestyle/thread-spread-sale-110511942.html,nlp-11,7-Nov-21,ad
These Sugar-Coated Gumdrop Decorations Will Light Up Your Walkway This Holiday Season,1,https://www.yahoo.com/lifestyle/sugar-coated-gumdrop-decorations-light-124800742.html,nlp-12,6-Nov-21,lifestyle
15 tabletop Christmas trees for people with small spaces,1,https://www.yahoo.com/finance/news/15-tabletop-christmas-trees-people-212349765.html,nlp-13,3-Nov-21,lifestyle
Get A Free Sample Of This Rechargeable Hearing Aid,1,https://www.thebesthearingaid.com/articlebha?utm_source=gemini&utm_campaign=eargocashpay&utm_medium=Native&creativeID=$37325496220&source=yahoo.com&device=$c&vmcid=p%24g%2co%243867d628-401a-11ec-b81c-008cfa1877ec-7f48503dc700%2ct%241636324189999&id={REQUESTID}&dp=besthearingaids,nlp-14,7-Nov-21,ad
Walmart just dropped incredible weekend deals ahead of Black Friday — save over 50 percent!,1,https://www.yahoo.com/lifestyle/walmart-deals-holiday-sales-003518809.html,nlp-15,5-Nov-21,lifestyle
Show Them How Much You Care With These Thoughtful Gifts,1,https://www.yahoo.com/lifestyle/show-them-much-care-thoughtful-120000949.html,nlp-16,6-Nov-21,ad
12 Best Types of Fish to Eat,1,https://edition.healthline.com/s/best-types-fish-e969a917d0d24b5e?utm_campaign=besttypesfish-b2d294d81bdd406d&utm_medium=cpc&utm_source=oat&utm_term=HOMEPAGE_US,nlp-17,2-Sep-20,lifestyle
I'm a chef. Here are 13 things you'll never find in my kitchen.,1,https://www.yahoo.com/news/im-chef-13-things-youll-140000591.html,nlp-18,6-Nov-21,lifestyle
The 5 best kitchen appliance deals at Kohl's early Black Friday mega-sale,1,https://www.yahoo.com/lifestyle/kohls-black-friday-kitchen-sale-104456306.html,nlp-19,5-Nov-21,lifestyle
Target’s Best Early Holiday Deals You Can Shop Now,1,https://www.yahoo.com/finance/news/target-best-early-holiday-deals-130001883.html,nlp-20,7-Nov-21,lifestyle
Fix Bad Posture Without Expensive Surgery,1,https://article.posturebenefit.com/posture-ever-w-adv/?uid=26&oid=5&affid=2&AFID=YAHOO&source_id=YAHOO&sub1=418698993&sub2=9794412146&sub3=37337255478&sub4=HOMEPAGE_US|c&sub5=yahoo.com,nlp-21,7-Nov-21,ad
21 Items That Are Always Cheaper at Costco,1,https://www.yahoo.com/finance/news/21-items-always-cheaper-costco-160025619.html,nlp-22,6-Nov-21,lifestyle
Top 5 Herbs To Detox Parasites Naturally,1,https://try.microbeformulas.com/5-top-herbs-to-detox-parasites-naturally-yg/?utm_source=yahoogemini&utm_medium=cpc&utm_content=36715077213_36715077213&utm_term=c_n_402757799_9778654836,nlp-23,Nan,ad
Why Ex-Costco Staff Buy These No Matter The Cost,1,https://itsthevibe.com/best-and-worst-things-to-buy-at-costco/?spadid=26934059&spadgid=2593560&spcampid=5025649&utm_source=gemini&utm_medium=cpc&utm_campaign=itv_us_m_t_d_gemini_54689_5025649&utm_content=37289053565_37289053565&sppubid=HOMEPAGE_US&utm_term=9793991287&spsecid=yahoo.com&spcid=3b48bf7a830a8f4d4335a96e8a624232&sm_dd=d&sm_xp=1&dynamic=true&xsmr=16,nlp-24,nan,ad
19 stocking stuffers under $30 for everyone on your list,1,https://www.yahoo.com/lifestyle/stocking-stuffers-under-30-190035040.html,nlp-25,6-Nov-21,ad
9 Everyday Foods That Could Get Even More Expensive Soon,1,https://www.yahoo.com/finance/news/9-everyday-foods-could-even-230841514.html,nlp-26,5-Nov-21,lifestyle
The Worst Habits That Will Damage Your Kidneys,1,https://www.vitaminews.com/worldwide/health-tips-ta?utm_source=yahoo&utm_medium=yahoo&utm_term=HOMEPAGE_US_also_yahoo.com&utm_campaign=yh-vn-kidneys-c10-des-us-enb-ns-14031d,nlp-27,12/10/2019,ad
I've worked on cruise ships for 6 years. Here are 10 things you need to know before booking your vacation.,1,https://www.yahoo.com/news/ive-worked-cruise-ships-6-134000689.html,nlp-28,7-Nov-21,lifestyle
9 Things an Interior Designer Would Never Have in Their Bedroom,1,https://www.yahoo.com/lifestyle/9-things-bedroom-secretly-stressing-160000835.html,nlp-29,6-Nov-21,lifestyle
The 6 Best Deals From Costco’s November Coupon Book,1,https://www.yahoo.com/finance/news/6-best-deals-costco-november-120057026.html,nlp-30,6-Nov-21,lifestyle
Top 12 Low-Carb Fast Foods,1,https://edition.healthline.com/s/fast-foods-low-carb-168a74e08ecb4392?utm_campaign=fastfoodslowcarb-c31f509bd65644b9&utm_medium=cpc&utm_source=oat&utm_term=HOMEPAGE_US,nlp-31,9-Jul-20,ad
20 of the best things to get at Aldi this month for under $5,1,https://www.yahoo.com/news/20-best-things-aldi-month-115000563.html,nlp-32,6-Nov-21,lifestyle
6 Things You Should Never Put in a Blender,1,https://www.yahoo.com/lifestyle/6-things-never-ever-put-130500546.html,nlp-33,7-Nov-21,lifestyle
"Wear A Safety Pin On Your Shirt, Here’s Why",1,https://www.yahoo.com/?cat=WORLD%20U.S.%20POLITICS&ncid=dcm_23818180_312205931_504764009_129322662&gclid=Cj0KCQjw8p2MBhCiARIsADDUFVFzJcBCcqbDDkPGDpO3b8NDFGpudtE7WJrtwf0skIzU0uR4y8LdW5EaAp7GEALw_wcB,nlp-34,2-Aug-21,ad
Mix Vaseline and Toothpaste And Watch What Happens,1,https://bigglobaltravel.com/trends/clever-uses-vaseline-yh/?utm_campaign=Vaseline%20Hacks%20Safe%20Shira2410%20MSN%20CHR%20En%20-%20Desktop%20USA%20YA&utm_source=Yahoo&utm_medium=HOMEPAGE_US&utm_content=yahoo.com&psl=s_ztbjie&network_code=CM,nlp-35,19-Jul-20,ad
The Best Pillows For Every Type Of Sleep Position,1,https://www.yahoo.com/news/best-pillows-every-type-sleep-200013537.html,nlp-36,6-Nov-21,lifestyle
Green Tea vs. Coffee: Which Is Better for You? We Asked a Nutritionist,1,https://www.yahoo.com/lifestyle/green-tea-vs-coffee-better-190000284.html,nlp-37,7-Nov-21,health
"Catherine Zeta Jones, 51, Says This $24 Face Cream Is ‘The Answer To Everything’",1,https://www.yahoo.com/lifestyle/catherine-zeta-jones-51-says-110000046.html,nlp-38,7-Nov-21,lifestyle
How To Locate Almost Anyone In Minutes,1,https://www.truthfinder.com/p/beacon/?utm_source=YHNTV&traffic[source]=YHNTV&utm_medium=native&traffic[medium]=native&utm_campaign=341547&traffic[campaign]=%7bPLACEMENTID%7d:341547&utm_term=%7bLIBRARYADID%7d&traffic[term]=%7bLIBRARYADID%7d&utm_content=&traffic[content]=&s1=341547&s2=%7bPLACEMENTID%7d&s3=%7bLIBRARYADID%7d&s4=&s5=&traffic[funnel]=tf&traffic[sub_id]=341547&traffic[s2]=%7bPLACEMENTID%7d&subtheme=locate%2f,nlp-39,3-Jan-20,ad
The No. 1 Reason to Claim Social Security at 62,1,https://www.yahoo.com/finance/m/d354980c-e351-3265-ad53-cf3e04ffbdb3/the-no-1-reason-to-claim.html,nlp-40,7-Nov-21,lifestyle
10 KitchenAid Tools That Are Perfect for Thanksgiving Prep—All on Sale at Amazon,1,https://www.yahoo.com/lifestyle/10-kitchenaid-tools-perfect-thanksgiving-080000912.html,nlp-41,6-Nov-21,lifestyle
"9 Foods to Eat If You Want Healthier Skin, Hair, and Nails",1,https://www.yahoo.com/lifestyle/9-foods-eat-want-healthier-050000242.html,nlp-42,6-Nov-21,lifestyle
6 Ways Medjool Dates Can Make You Healthier—and How to Eat More of Them,1,https://www.yahoo.com/lifestyle/6-ways-medjool-dates-healthier-182918400.html,NLP-43,5-Nov-21,lifestyle
These Foods Are the Closest You'll Get to Immortality,1,https://www.yahoo.com/lifestyle/foods-closest-youll-immortality-050000218.html,nlp-44,7-Nov-21,health
6 inexpensive renter-friendly ways to spice up your home shopping at Fayetteville stores,1,https://www.yahoo.com/news/6-inexpensive-renter-friendly-ways-113011079.html,nlp-45,7-Nov-21,lifestyle
21 Items That Are Always Cheaper at Costco,1,https://www.yahoo.com/finance/news/21-items-always-cheaper-costco-170023253.html,nlp-46,7-Nov-21,lifestyle
4 Costco Items That Have Remained Cheap for Years,1,https://www.yahoo.com/finance/news/4-costco-items-remained-cheap-130115048.html,nlp-47,5-Nov-21,lifestyle
Gifts For Extended Family Members You Never See But Have To Buy Presents For,1,https://www.yahoo.com/news/gifts-extended-family-members-never-104505790.html,nlp-48,8-Nov-21,lifestyle
The Gifts Everyone Will Love,1,https://go.gadgetspost.com/e/content/HrD8bZSWl3nevPu?sub5=b5913bfd-cbad-4c6f-9dfd-f48c7b3f1bf2&s5=b5913bfd-cbad-4c6f-9dfd-f48c7b3f1bf2&max_cid=b5913bfd-cbad-4c6f-9dfd-f48c7b3f1bf2,nlp-49,nan,ad
Bust the belly fat,1,https://www.yahoo.com/news/bust-belly-fat-193104628.html,nlp-50,6-Nov-21,health
15 of the best gifts to buy yourself this holiday season—because you deserve it,1,https://finance.yahoo.com/news/15-best-gifts-buy-yourself-172646419.html,nlp-51,8-Nov-21,lifestyle
The Average Price Of 1-Day Shower Installation,1,https://info.profind.com/bathtub-remodeling?utm_campaign=400416931&utm_content=37307464912&cid=5d9b03943831a&utm_source=yahoo&utm_medium=HOMEPAGE_US&campaign=5d9b03943831a-AME-BR-US-PF-1-D&source=yahoo&content=37307464912&vmcid=p%24g%2co%243adb06ae-40cf-11ec-ae0c-f0921c11af64-7f18e66ad700%2ct%241636401933024,nlp-52,3-Nov-21,ad
10 Trends That Will Be Everywhere This 2021 Holiday Season,1,https://www.yahoo.com/lifestyle/10-trends-everywhere-2021-holiday-150000080.html,nlp-53,8-Nov-21,lifestyle
6 things you can do right now to speed up your computer,1,https://www.yahoo.com/lifestyle/speed-up-computer-system-mechanic-yahoo-subscriptions-201740420.html,nlp-54,13-Oct-21,tech
Virginia Drivers Are Shocked By New Rule,1,https://auto-savings.com/simple/?affid=1703&s1=cv&link_id=469f89ea-e240-42ad-94e0-fa22ea3f2c72&click=maximus&s5=74277afe-3c3d-4b30-a17d-7e11fd12a39a&max_cid=74277afe-3c3d-4b30-a17d-7e11fd12a39a,nlp-55,8-Nov-21,ad
I lost 40 pounds. Here are 11 Trader Joe's products that have helped me keep the weight off years later.,1,https://www.yahoo.com/news/lost-40-pounds-11-trader-192324845.html,nlp-56,8-Nov-21,lifestyle
14 unique Christmas stockings to revamp your mantel this year,1,https://finance.yahoo.com/news/15-unique-christmas-stockings-buy-212344863.html,nlp-57,8-Nov-21,lifestyle
How To Remove Teeth Calculus At Home,1,https://sonoshine.com/blog/teethcleaner-yg.php?affId=76E606D5&c1=us&c2=36486061029,nlp-58,30-Oct-21,ad
